File,Base complexity,Predicates with operators,Nested levels,Complex code structures,Third-Party calls,Inter_dependencies,Intra_dependencies,Log
programs_final1h/avatar/atcoder_ABC042_A.py-f05d8d082e725abf3fa7098affec2ead726dc15fcfcafc52dedb7385cbe9b2e2,3,2,1,4,7,1,0,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC042_A.py-f05d8d082e725abf3fa7098affec2ead726dc15fcfcafc52dedb7385cbe9b2e2.log
programs_final1h/avatar/atcoder_ABC043_B.py-4da176ee06574520878b8f3363d135e818a87974d9080df39478d99f4fff51d7,7,5,10,3,2,1,0,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC043_B.py-4da176ee06574520878b8f3363d135e818a87974d9080df39478d99f4fff51d7.log
programs_final1h/avatar/atcoder_ABC051_A.py-72f25f75890eb850e89762e18fb9572941914743dcbddd5ad4205a7a4760e50f,1,0,0,3,8,1,0,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC051_A.py-72f25f75890eb850e89762e18fb9572941914743dcbddd5ad4205a7a4760e50f.log
programs_final1h/avatar/atcoder_ABC070_B.py-a6e6aedb4acb56ee7f901855747e3f2fe619994c61cf4ef84b29423c5e4ba96a,5,4,6,3,2,1,1,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC070_B.py-a6e6aedb4acb56ee7f901855747e3f2fe619994c61cf4ef84b29423c5e4ba96a.log
programs_final1h/avatar/atcoder_ABC089_C.py-6f6add34575355db1806e923efe9c1b45d9c1f5ce6cc9fb3df8c2d21dcbd7be4,10,3,6,6,6,1,6,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC089_C.py-6f6add34575355db1806e923efe9c1b45d9c1f5ce6cc9fb3df8c2d21dcbd7be4.log
programs_final1h/avatar/atcoder_ABC104_C.py-241f3dea387ea24066ee76cbdb9d53daf0846238ebe30f373bb636464d5fe187,10,7,10,6,3,1,2,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC104_C.py-241f3dea387ea24066ee76cbdb9d53daf0846238ebe30f373bb636464d5fe187.log
programs_final1h/avatar/atcoder_ABC105_D.py-9dfa6e4c26841f34b52addd8f68f53b01660fc76c70d1c5de43e5f07ec1163e0,5,1,0,9,9,1,3,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC105_D.py-9dfa6e4c26841f34b52addd8f68f53b01660fc76c70d1c5de43e5f07ec1163e0.log
programs_final1h/avatar/atcoder_ABC106_C.py-80d4dc2e8a20a7cf654c1c0a55349f11e867aea4606de0646a6e90be518ecee7,13,3,3,11,14,1,3,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC106_C.py-80d4dc2e8a20a7cf654c1c0a55349f11e867aea4606de0646a6e90be518ecee7.log
programs_final1h/avatar/atcoder_ABC107_C.py-345b35173a0883ef44852dfab84b46a14919c8d022dcd5d439e520503c767ee4,13,11,20,4,0,1,1,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC107_C.py-345b35173a0883ef44852dfab84b46a14919c8d022dcd5d439e520503c767ee4.log
programs_final1h/avatar/atcoder_ABC107_D.py-5e3b6b154c5e487b668dc5e5bdcb7fd054804fba46d963a9799ce3e130ab2aa9,11,4,1,9,1,1,4,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC107_D.py-5e3b6b154c5e487b668dc5e5bdcb7fd054804fba46d963a9799ce3e130ab2aa9.log
programs_final1h/avatar/atcoder_ABC108_B.py-6018407f8567c4d6b41a18a735f0d4805fc2d83a2cabe03e4a112e4522e41ff9,5,0,0,8,7,1,2,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC108_B.py-6018407f8567c4d6b41a18a735f0d4805fc2d83a2cabe03e4a112e4522e41ff9.log
programs_final1h/avatar/atcoder_ABC109_B.py-1f186f09a45b5dacf6264555b4f3a552ed251c8ba30bed6f4a7669d5fb506690,6,4,8,6,4,1,0,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC109_B.py-1f186f09a45b5dacf6264555b4f3a552ed251c8ba30bed6f4a7669d5fb506690.log
programs_final1h/avatar/atcoder_ABC110_C.py-ae45424a1f99ae3e5ea6530fe6759428fe95d01d9bd6755747a8786d604e4975,6,3,1,5,5,1,2,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC110_C.py-ae45424a1f99ae3e5ea6530fe6759428fe95d01d9bd6755747a8786d604e4975.log
programs_final1h/avatar/atcoder_ABC111_C.py-1953b4f3eeb18fadc41002de116136832111bd5685a6068ceb1cfe65358fde58,25,13,32,9,5,1,0,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC111_C.py-1953b4f3eeb18fadc41002de116136832111bd5685a6068ceb1cfe65358fde58.log
programs_final1h/avatar/atcoder_ABC112_A.py-e73d1959470b13aa4ab4b7bbc892482f5ae6a44b9336f3a06c4f1c57cde7b6be,5,2,1,6,2,1,1,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC112_A.py-e73d1959470b13aa4ab4b7bbc892482f5ae6a44b9336f3a06c4f1c57cde7b6be.log
programs_final1h/avatar/atcoder_ABC112_C.py-597a2ebb69e15b16541d5834f686284171722e62099776cfc8b5c97ac90a844f,8,5,10,8,3,1,3,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC112_C.py-597a2ebb69e15b16541d5834f686284171722e62099776cfc8b5c97ac90a844f.log
programs_final1h/avatar/atcoder_ABC114_C.py-f49e4706282c9374ec67bd65ff5a60e328e8e1a9e074db8d9acbe4bddad26d08,6,3,3,4,1,1,2,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC114_C.py-f49e4706282c9374ec67bd65ff5a60e328e8e1a9e074db8d9acbe4bddad26d08.log
programs_final1h/avatar/atcoder_ABC118_C.py-c4b6990a477f23a789be95c2f158e5ff9ceab936cd97482d6128583b53fbfd98,1,0,0,3,9,1,0,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC118_C.py-c4b6990a477f23a789be95c2f158e5ff9ceab936cd97482d6128583b53fbfd98.log
programs_final1h/avatar/atcoder_ABC119_B.py-e2e1f3bd7d5cfcea43e460fa3eb1f22b983fce0e1ec9dd868d813ecb076d069d,1,0,0,6,10,1,0,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC119_B.py-e2e1f3bd7d5cfcea43e460fa3eb1f22b983fce0e1ec9dd868d813ecb076d069d.log
programs_final1h/avatar/atcoder_ABC120_C.py-0aae4535f4a6afec2dfa3126dbda49325d4f6334968522ecfe46153eb24eff08,8,5,6,4,4,1,1,final_transformations//avatar/012f2c7a8189e02179363a87617b256a97075f10/programs_final1h_avatar_atcoder_ABC120_C.py-0aae4535f4a6afec2dfa3126dbda49325d4f6334968522ecfe46153eb24eff08.log
