File,Base complexity,Predicates with operators,Nested levels,Complex code structures,Third-Party calls,Inter_dependencies,Intra_dependencies,Log
dataset/cruxeval_transformation_new/sample_0.py-db549e8cd8eb53472357f238ecd4e5cb4ece67c9044fb7e928ef50b815cb9a29,4,0,0,6,5,0,0,existing_benchmarks//cruxeval/140a3681064f42ef36bfb5f5781510cb38929857/dataset_cruxeval_transformation_new_sample_0.py-db549e8cd8eb53472357f238ecd4e5cb4ece67c9044fb7e928ef50b815cb9a29.log
dataset/cruxeval_transformation_new/sample_103.py-3493ad01ddf3b6f0749c98593bbfc48730d0aab717b73d7a86f43a4b0c2e78a7,3,0,0,6,7,0,0,existing_benchmarks//cruxeval/140a3681064f42ef36bfb5f5781510cb38929857/dataset_cruxeval_transformation_new_sample_103.py-3493ad01ddf3b6f0749c98593bbfc48730d0aab717b73d7a86f43a4b0c2e78a7.log
dataset/cruxeval_transformation_new/sample_10.py-2767154049bd43c5ca1c3fa8912e65ac05ba22ce70d99c1d9455fe402c3d7591,6,2,3,6,7,1,0,existing_benchmarks//cruxeval/140a3681064f42ef36bfb5f5781510cb38929857/dataset_cruxeval_transformation_new_sample_10.py-2767154049bd43c5ca1c3fa8912e65ac05ba22ce70d99c1d9455fe402c3d7591.log
dataset/cruxeval_transformation_new/sample_117.py-4e9260e60437228bdf0173b1167d297de70714d3dfb46a066f1ca4ed9a4006a0,7,3,1,7,2,0,2,existing_benchmarks//cruxeval/140a3681064f42ef36bfb5f5781510cb38929857/dataset_cruxeval_transformation_new_sample_117.py-4e9260e60437228bdf0173b1167d297de70714d3dfb46a066f1ca4ed9a4006a0.log
dataset/cruxeval_transformation_new/sample_119.py-a1b67e212b91ec89fe03953e9fd1b452ae9ebe3534eb4922e960b68941555e59,7,3,1,7,2,0,2,existing_benchmarks//cruxeval/140a3681064f42ef36bfb5f5781510cb38929857/dataset_cruxeval_transformation_new_sample_119.py-a1b67e212b91ec89fe03953e9fd1b452ae9ebe3534eb4922e960b68941555e59.log
dataset/cruxeval_transformation_new/sample_121.py-3e594a41ad7d66470f70c94d6bf9460f6ce445ddbd0cb4b5169112352f413451,5,2,1,9,4,0,0,existing_benchmarks//cruxeval/140a3681064f42ef36bfb5f5781510cb38929857/dataset_cruxeval_transformation_new_sample_121.py-3e594a41ad7d66470f70c94d6bf9460f6ce445ddbd0cb4b5169112352f413451.log
dataset/cruxeval_transformation_new/sample_126.py-ef23ebcef7783e3afc69aa50c0f2eded067d7c8fea78ca4a2220a82cbd4d993a,3,0,0,5,3,1,2,existing_benchmarks//cruxeval/140a3681064f42ef36bfb5f5781510cb38929857/dataset_cruxeval_transformation_new_sample_126.py-ef23ebcef7783e3afc69aa50c0f2eded067d7c8fea78ca4a2220a82cbd4d993a.log
dataset/cruxeval_transformation_new/sample_127.py-1a9b76a1a0f1de2068b7d5b1b7aefeff51bdb756158018875de6ca8d46b18c7f,3,0,0,5,7,0,0,existing_benchmarks//cruxeval/140a3681064f42ef36bfb5f5781510cb38929857/dataset_cruxeval_transformation_new_sample_127.py-1a9b76a1a0f1de2068b7d5b1b7aefeff51bdb756158018875de6ca8d46b18c7f.log
dataset/cruxeval_transformation_new/sample_129.py-b33579eea25024818bc1f2af5076106220f82b59ed67509acd50c03e2f194cf3,6,1,0,7,8,0,0,existing_benchmarks//cruxeval/140a3681064f42ef36bfb5f5781510cb38929857/dataset_cruxeval_transformation_new_sample_129.py-b33579eea25024818bc1f2af5076106220f82b59ed67509acd50c03e2f194cf3.log
dataset/cruxeval_transformation_new/sample_134.py-5a5fb11f36bb3cc0ca0aa06fdeeb8f6849bd9084fbc81300f167dd5c5d6727c9,8,3,6,5,2,0,0,existing_benchmarks//cruxeval/140a3681064f42ef36bfb5f5781510cb38929857/dataset_cruxeval_transformation_new_sample_134.py-5a5fb11f36bb3cc0ca0aa06fdeeb8f6849bd9084fbc81300f167dd5c5d6727c9.log
