File,Base complexity,Predicates with operators,Nested levels,Complex code structures,Third-Party calls,Inter_dependencies,Intra_dependencies,Log
filtered_extracted_funcs/astropy_modeling_separable.py,3,0,0,1,3,0,0,filtered_results/filtered_extracted_funcs_astropy_modeling_separable.py.log
filtered_extracted_funcs/astropy_nddata_mixins_ndarithmetic.py,5,3,0,0,2,0,0,filtered_results/filtered_extracted_funcs_astropy_nddata_mixins_ndarithmetic.py.log
filtered_extracted_funcs/astropy_io_fits_fitsrec.py,10,7,2,1,2,2,0,filtered_results/filtered_extracted_funcs_astropy_io_fits_fitsrec.py.log
filtered_extracted_funcs/lib_matplotlib_figure.py,10,1,0,4,1,0,0,filtered_results/filtered_extracted_funcs_lib_matplotlib_figure.py.log
filtered_extracted_funcs/lib_mpl_toolkits_mplot3d_art3d.py,13,3,1,3,3,0,0,filtered_results/filtered_extracted_funcs_lib_mpl_toolkits_mplot3d_art3d.py.log
filtered_extracted_funcs/lib_matplotlib_legend.py,51,23,11,17,16,0,11,filtered_results/filtered_extracted_funcs_lib_matplotlib_legend.py.log
filtered_extracted_funcs/lib_matplotlib_axis.py,8,1,0,0,0,0,0,filtered_results/filtered_extracted_funcs_lib_matplotlib_axis.py.log
filtered_extracted_funcs/lib_matplotlib_offsetbox.py,27,8,1,19,14,9,0,filtered_results/filtered_extracted_funcs_lib_matplotlib_offsetbox.py.log
filtered_extracted_funcs/lib_matplotlib_offsetbox.py,32,10,2,7,8,9,1,filtered_results/filtered_extracted_funcs_lib_matplotlib_offsetbox.py.log
filtered_extracted_funcs/lib_matplotlib_colorbar.py,31,15,4,14,20,3,0,filtered_results/filtered_extracted_funcs_lib_matplotlib_colorbar.py.log
filtered_extracted_funcs/seaborn__core_scales.py,27,8,3,13,10,0,0,filtered_results/filtered_extracted_funcs_seaborn__core_scales.py.log
filtered_extracted_funcs/requests_sessions.py,13,10,13,0,0,13,0,filtered_results/filtered_extracted_funcs_requests_sessions.py.log
filtered_extracted_funcs/requests_sessions.py,2,0,0,0,0,2,0,filtered_results/filtered_extracted_funcs_requests_sessions.py.log
