File,Base complexity,Predicates with operators,Nested levels,Complex code structures,Third-Party calls,Inter_dependencies,Intra_dependencies,Log
dataset/python_classeval//AccessGatewayFilter.py,11,2,2,1,5,0,3,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__AccessGatewayFilter.py.log
dataset/python_classeval//AreaCalculator.py,7,0,0,0,0,0,0,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__AreaCalculator.py.log
dataset/python_classeval//ArgumentParser.py,13,2,5,0,0,0,2,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__ArgumentParser.py.log
dataset/python_classeval//ArrangementCalculator.py,10,5,0,8,1,0,1,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__ArrangementCalculator.py.log
dataset/python_classeval//AssessmentSystem.py,17,6,7,1,0,0,1,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__AssessmentSystem.py.log
dataset/python_classeval//AutomaticGuitarSimulator.py,8,1,8,2,0,0,1,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__AutomaticGuitarSimulator.py.log
dataset/python_classeval//AvgPartition.py,4,1,0,0,0,0,1,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__AvgPartition.py.log
dataset/python_classeval//BalancedBrackets.py,12,8,16,4,0,0,1,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__BalancedBrackets.py.log
dataset/python_classeval//BankAccount.py,4,3,0,0,0,0,1,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__BankAccount.py.log
dataset/python_classeval//BigNumCalculator.py,16,19,2,9,0,0,0,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__BigNumCalculator.py.log
dataset/python_classeval//BinaryDataProcessor.py,7,1,0,2,0,0,1,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__BinaryDataProcessor.py.log
dataset/python_classeval//BitStatusUtil.py,5,2,2,11,0,0,0,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__BitStatusUtil.py.log
dataset/python_classeval//BlackjackGame.py,16,8,3,6,1,0,3,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__BlackjackGame.py.log
dataset/python_classeval//BookManagementDB.py,7,0,0,0,1,0,1,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__BookManagementDB.py.log
dataset/python_classeval//BookManagement.py,8,4,0,0,0,0,0,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__BookManagement.py.log
dataset/python_classeval//BoyerMooreSearch.py,9,10,3,1,0,0,2,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__BoyerMooreSearch.py.log
dataset/python_classeval//Calculator.py,17,7,9,12,0,0,5,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__Calculator.py.log
dataset/python_classeval//CalendarUtil.py,17,6,5,4,5,0,1,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__CalendarUtil.py.log
dataset/python_classeval//CamelCaseMap.py,9,0,0,3,0,0,4,existing_benchmarks//classeval/64d25badd300213acb10416ff4894f6a0892ff1f/dataset_python_classeval__CamelCaseMap.py.log
