File,Base complexity,Predicates with operators,Nested levels,Complex code structures,Third-Party calls,Inter_dependencies,Intra_dependencies,Log
filtered/astropy__astropy/astropy/modeling/separable.py,23,8,5,6,15,2,13,filtered_results/filtered_astropy__astropy_astropy_modeling_separable.py.log
filtered/astropy__astropy/astropy/nddata/mixins/ndarithmetic.py,39,33,12,30,15,6,13,filtered_results/filtered_astropy__astropy_astropy_nddata_mixins_ndarithmetic.py.log
filtered/astropy__astropy/astropy/io/fits/fitsrec.py,205,82,90,40,56,20,34,filtered_results/filtered_astropy__astropy_astropy_io_fits_fitsrec.py.log
filtered/django__django/django/conf/global_settings.py,2,0,0,26,0,0,90,filtered_results/filtered_django__django_django_conf_global_settings.py.log
filtered/django__django/django/core/management/commands/sqlmigrate.py,10,1,0,2,6,0,0,filtered_results/filtered_django__django_django_core_management_commands_sqlmigrate.py.log
filtered/django__django/django/contrib/auth/validators.py,2,0,0,4,2,0,0,filtered_results/filtered_django__django_django_contrib_auth_validators.py.log
filtered/django__django/django/http/response.py,103,19,9,32,20,0,16,filtered_results/filtered_django__django_django_http_response.py.log
filtered/django__django/django/db/models/deletion.py,54,23,35,18,12,0,12,filtered_results/filtered_django__django_django_db_models_deletion.py.log
filtered/django__django/django/views/debug.py,85,30,42,17,24,0,21,filtered_results/filtered_django__django_django_views_debug.py.log
filtered/django__django/django/utils/http.py,67,30,18,16,30,0,6,filtered_results/filtered_django__django_django_utils_http.py.log
filtered/django__django/django/db/migrations/autodetector.py,235,77,231,58,36,0,91,filtered_results/filtered_django__django_django_db_migrations_autodetector.py.log
filtered/django__django/django/db/backends/base/creation.py,33,11,6,1,13,0,26,filtered_results/filtered_django__django_django_db_backends_base_creation.py.log
filtered/django__django/django/db/models/deletion.py,74,26,45,25,25,0,21,filtered_results/filtered_django__django_django_db_models_deletion.py.log
filtered/django__django/django/db/models/query.py,277,109,127,76,51,0,116,filtered_results/filtered_django__django_django_db_models_query.py.log
filtered/django__django/django/contrib/syndication/views.py,42,10,6,2,17,0,37,filtered_results/filtered_django__django_django_contrib_syndication_views.py.log
filtered/django__django/django/contrib/admin/sites.py,65,23,17,27,53,0,24,filtered_results/filtered_django__django_django_contrib_admin_sites.py.log
filtered/django__django/django/contrib/admin/options.py,329,103,83,77,176,0,179,filtered_results/filtered_django__django_django_contrib_admin_options.py.log
filtered/django__django/django/core/management/templates.py,50,19,27,9,55,0,9,filtered_results/filtered_django__django_django_core_management_templates.py.log
filtered/django__django/django/forms/formsets.py,72,31,15,42,19,0,41,filtered_results/filtered_django__django_django_forms_formsets.py.log
filtered/django__django/django/utils/decorators.py,34,9,5,5,5,0,5,filtered_results/filtered_django__django_django_utils_decorators.py.log
filtered/django__django/django/forms/models.py,243,113,98,36,35,0,49,filtered_results/filtered_django__django_django_forms_models.py.log
filtered/django__django/django/db/migrations/operations/models.py,163,25,37,75,5,0,9,filtered_results/filtered_django__django_django_db_migrations_operations_models.py.log
