File,Base complexity,Predicates with operators,Nested levels,Complex code structures,Third-Party calls,Inter_dependencies,Intra_dependencies,Log
dataset/python_mbpp//100.py,3,2,1,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__100.py.log
dataset/python_mbpp//101.py,4,2,3,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__101.py.log
dataset/python_mbpp//102.py,1,0,0,1,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__102.py.log
dataset/python_mbpp//103.py,4,2,0,2,0,0,2,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__103.py.log
dataset/python_mbpp//104.py,1,0,0,3,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__104.py.log
dataset/python_mbpp//105.py,1,0,0,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__105.py.log
dataset/python_mbpp//106.py,1,0,0,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__106.py.log
dataset/python_mbpp//108.py,1,0,0,0,1,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__108.py.log
dataset/python_mbpp//109.py,3,1,1,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__109.py.log
dataset/python_mbpp//11.py,5,5,2,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__11.py.log
dataset/python_mbpp//111.py,1,0,0,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__111.py.log
dataset/python_mbpp//113.py,4,5,0,2,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__113.py.log
dataset/python_mbpp//115.py,1,1,0,1,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__115.py.log
dataset/python_mbpp//116.py,1,0,0,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__116.py.log
dataset/python_mbpp//117.py,4,0,3,2,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__117.py.log
dataset/python_mbpp//118.py,1,0,0,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__118.py.log
dataset/python_mbpp//119.py,2,0,0,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__119.py.log
dataset/python_mbpp//12.py,1,0,0,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__12.py.log
dataset/python_mbpp//120.py,1,0,0,1,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__120.py.log
dataset/python_mbpp//123.py,6,7,2,2,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__123.py.log
dataset/python_mbpp//124.py,1,0,0,0,1,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__124.py.log
dataset/python_mbpp//125.py,3,1,1,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__125.py.log
dataset/python_mbpp//126.py,3,1,1,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__126.py.log
dataset/python_mbpp//127.py,6,3,0,2,0,0,2,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__127.py.log
dataset/python_mbpp//128.py,3,1,1,1,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__128.py.log
dataset/python_mbpp//129.py,5,4,0,3,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__129.py.log
dataset/python_mbpp//130.py,2,0,0,2,1,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__130.py.log
dataset/python_mbpp//131.py,5,2,2,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__131.py.log
dataset/python_mbpp//132.py,1,0,0,0,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__132.py.log
dataset/python_mbpp//133.py,1,1,0,2,0,0,0,existing_benchmarks//mbpp/ad7007a6e75187b9294da91361b014ded8829913/dataset_python_mbpp__133.py.log
