File,Base complexity,Predicates with operators,Nested levels,Complex code structures,Third-Party calls,Inter_dependencies,Intra_dependencies,Log
src/sqlfluff/cli/commands.py,111,46,32,114,143,22,37,/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_cli_commands.py.log
src/sqlfluff/cli/formatters.py,83,31,29,21,13,9,56,/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_cli_formatters.py.log
src/sqlfluff/core/linter/linted_dir.py,20,1,1,17,0,0,0,/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_linter_linted_dir.py.log
docs/generate-rule-docs.py,3,3,11,0,2,1,0,/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/docs_generate-rule-docs.py.log
src/sqlfluff/rules/layout/LT12.py,13,4,4,7,0,12,2,/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_rules_layout_LT12.py.log
src/sqlfluff/core/linter/linter.py,119,40,135,66,35,26,22,/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_linter_linter.py.log
src/sqlfluff/core/linter/linted_file.py,67,28,25,43,13,0,11,/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_linter_linted_file.py.log
src/sqlfluff/core/linter/linting_result.py,42,4,15,25,3,3,5,/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_linter_linting_result.py.log
src/sqlfluff/core/linter/common.py,5,0,0,0,0,0,0,/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_linter_common.py.log
src/sqlfluff/core/linter/linted_file.py,52,27,20,30,8,2,7,/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_linter_linted_file.py.log
