src/sqlfluff/cli/commands.py,{'num_tokens', 7513, 'lines_of_code', 903, 'num_conditions', 74, 'num_loops', 14, 'num_assignments', 137, 'num_max_nested_loop', 2, 'num_max_nested_if', 6, 'num_max_conditions_in_if', 3, 'max_line_tokens', 26, 'num_of_variables', 67, 'num_of_arrays', 15, 'num_of_operators', 89, 'num_of_missing_conditions', 0, 'num_of_nested_casting', 1, 'entropy', 7.539963357791951}
src/sqlfluff/cli/formatters.py,{'num_tokens', 3845, 'lines_of_code', 466, 'num_conditions', 59, 'num_loops', 19, 'num_assignments', 84, 'num_max_nested_loop', 2, 'num_max_nested_if', 3, 'num_max_conditions_in_if', 2, 'max_line_tokens', 22, 'num_of_variables', 63, 'num_of_arrays', 12, 'num_of_operators', 84, 'num_of_missing_conditions', 0, 'num_of_nested_casting', 0, 'entropy', 7.162206453666746}
src/sqlfluff/core/linter/linted_dir.py,{'num_tokens', 799, 'lines_of_code', 86, 'num_conditions', 2, 'num_loops', 9, 'num_assignments', 8, 'num_max_nested_loop', 1, 'num_max_nested_if', 1, 'num_max_conditions_in_if', 1, 'max_line_tokens', 22, 'num_of_variables', 4, 'num_of_arrays', 3, 'num_of_operators', 4, 'num_of_missing_conditions', 0, 'num_of_nested_casting', 0, 'entropy', 6.444559627339979}
docs/generate-rule-docs.py,{'num_tokens', 944, 'lines_of_code', 66, 'num_conditions', 5, 'num_loops', 7, 'num_assignments', 18, 'num_max_nested_loop', 3, 'num_max_nested_if', 1, 'num_max_conditions_in_if', 1, 'max_line_tokens', 42, 'num_of_variables', 20, 'num_of_arrays', 0, 'num_of_operators', 35, 'num_of_missing_conditions', 1, 'num_of_nested_casting', 0, 'entropy', 6.026700086431024}
src/sqlfluff/rules/layout/LT12.py,{'num_tokens', 788, 'lines_of_code', 63, 'num_conditions', 7, 'num_loops', 3, 'num_assignments', 17, 'num_max_nested_loop', 1, 'num_max_nested_if', 2, 'num_max_conditions_in_if', 1, 'max_line_tokens', 19, 'num_of_variables', 16, 'num_of_arrays', 5, 'num_of_operators', 6, 'num_of_missing_conditions', 1, 'num_of_nested_casting', 0, 'entropy', 6.810636929903653}
src/sqlfluff/core/linter/linter.py,{'num_tokens', 7316, 'lines_of_code', 825, 'num_conditions', 84, 'num_loops', 36, 'num_assignments', 168, 'num_max_nested_loop', 5, 'num_max_nested_if', 5, 'num_max_conditions_in_if', 2, 'max_line_tokens', 29, 'num_of_variables', 126, 'num_of_arrays', 31, 'num_of_operators', 86, 'num_of_missing_conditions', 0, 'num_of_nested_casting', 2, 'entropy', 7.766020307654543}
src/sqlfluff/core/templaters/slicers/tracer.py,{'num_tokens', 4441, 'lines_of_code', 401, 'num_conditions', 49, 'num_loops', 7, 'num_assignments', 120, 'num_max_nested_loop', 2, 'num_max_nested_if', 5, 'num_max_conditions_in_if', 3, 'max_line_tokens', 24, 'num_of_variables', 60, 'num_of_arrays', 15, 'num_of_operators', 100, 'num_of_missing_conditions', 0, 'num_of_nested_casting', 2, 'entropy', 7.532354791446406}
src/sqlfluff/core/linter/linted_file.py,{'num_tokens', 3780, 'lines_of_code', 362, 'num_conditions', 43, 'num_loops', 24, 'num_assignments', 77, 'num_max_nested_loop', 2, 'num_max_nested_if', 3, 'num_max_conditions_in_if', 2, 'max_line_tokens', 23, 'num_of_variables', 61, 'num_of_arrays', 16, 'num_of_operators', 53, 'num_of_missing_conditions', 0, 'num_of_nested_casting', 1, 'entropy', 7.776022715445436}
src/sqlfluff/core/linter/linting_result.py,{'num_tokens', 1723, 'lines_of_code', 206, 'num_conditions', 14, 'num_loops', 22, 'num_assignments', 33, 'num_max_nested_loop', 2, 'num_max_nested_if', 1, 'num_max_conditions_in_if', 1, 'max_line_tokens', 30, 'num_of_variables', 25, 'num_of_arrays', 6, 'num_of_operators', 18, 'num_of_missing_conditions', 0, 'num_of_nested_casting', 2, 'entropy', 6.700020488558365}
src/sqlfluff/core/linter/common.py,{'num_tokens', 362, 'lines_of_code', 38, 'num_conditions', 0, 'num_loops', 0, 'num_assignments', 19, 'num_max_nested_loop', 0, 'num_max_nested_if', 0, 'num_max_conditions_in_if', 0, 'max_line_tokens', 20, 'num_of_variables', 14, 'num_of_arrays', 0, 'num_of_operators', 0, 'num_of_missing_conditions', 0, 'num_of_nested_casting', 0, 'entropy', 6.40667425168035}
src/sqlfluff/core/linter/linted_file.py,{'num_tokens', 2989, 'lines_of_code', 306, 'num_conditions', 37, 'num_loops', 19, 'num_assignments', 62, 'num_max_nested_loop', 2, 'num_max_nested_if', 7, 'num_max_conditions_in_if', 2, 'max_line_tokens', 23, 'num_of_variables', 49, 'num_of_arrays', 13, 'num_of_operators', 52, 'num_of_missing_conditions', 0, 'num_of_nested_casting', 1, 'entropy', 7.580681515331919}
