File,Base complexity,Predicates with operators,Nested levels,Complex code structures,Third-Party calls,Inter_dependencies,Intra_dependencies,Log
filtered_swe_bench_class/astropy_wcs_wcsapi_fitswcs.py,88,39,73,35,15,22,2,filtered_results/filtered_swe_bench_class_astropy_wcs_wcsapi_fitswcs.py.log
filtered_swe_bench_class/astropy_nddata_nduncertainty.py,93,33,14,56,10,9,8,filtered_results/filtered_swe_bench_class_astropy_nddata_nduncertainty.py.log
filtered_swe_bench_class/astropy_modeling_separable.py,13,4,5,2,9,0,3,filtered_results/filtered_swe_bench_class_astropy_modeling_separable.py.log
filtered_swe_bench_class/astropy_nddata_ccddata.py,55,36,25,24,1,16,10,filtered_results/filtered_swe_bench_class_astropy_nddata_ccddata.py.log
filtered_swe_bench_class/astropy_timeseries_core.py,7,5,3,2,0,0,1,filtered_results/filtered_swe_bench_class_astropy_timeseries_core.py.log
filtered_swe_bench_class/astropy_coordinates_angle_formats.py,7,6,0,0,21,5,2,filtered_results/filtered_swe_bench_class_astropy_coordinates_angle_formats.py.log
filtered_swe_bench_class/astropy_table_serialize.py,21,10,9,13,1,0,2,filtered_results/filtered_swe_bench_class_astropy_table_serialize.py.log
filtered_swe_bench_class/astropy_utils_masked_function_helpers.py,7,0,0,4,1,0,0,filtered_results/filtered_swe_bench_class_astropy_utils_masked_function_helpers.py.log
filtered_swe_bench_class/astropy_table_jsviewer.py,12,1,1,10,4,0,1,filtered_results/filtered_swe_bench_class_astropy_table_jsviewer.py.log
filtered_swe_bench_class/astropy_time_utils.py,10,2,0,0,2,0,10,filtered_results/filtered_swe_bench_class_astropy_time_utils.py.log
filtered_swe_bench_class/astropy_coordinates_earth_orientation.py,7,3,0,0,13,9,3,filtered_results/filtered_swe_bench_class_astropy_coordinates_earth_orientation.py.log
filtered_swe_bench_class/astropy_wcs_wcsapi_wrappers_sliced_wcs.py,59,32,23,43,6,1,6,filtered_results/filtered_swe_bench_class_astropy_wcs_wcsapi_wrappers_sliced_wcs.py.log
filtered_swe_bench_class/astropy_table_pprint.py,97,57,58,26,8,7,16,filtered_results/filtered_swe_bench_class_astropy_table_pprint.py.log
filtered_swe_bench_class/astropy_io_ascii_rst.py,5,0,0,0,0,0,0,filtered_results/filtered_swe_bench_class_astropy_io_ascii_rst.py.log
filtered_swe_bench_class/astropy_coordinates_matrix_utilities.py,3,1,0,0,12,1,1,filtered_results/filtered_swe_bench_class_astropy_coordinates_matrix_utilities.py.log
filtered_swe_bench_class/astropy_io_fits_hdu_image.py,150,90,42,40,27,20,24,filtered_results/filtered_swe_bench_class_astropy_io_fits_hdu_image.py.log
filtered_swe_bench_class/astropy_utils_masked_core.py,190,86,51,40,47,0,45,filtered_results/filtered_swe_bench_class_astropy_utils_masked_core.py.log
filtered_swe_bench_class/astropy_table_index.py,129,38,19,29,6,10,44,filtered_results/filtered_swe_bench_class_astropy_table_index.py.log
filtered_swe_bench_class/astropy_cosmology_io_latex.py,4,2,1,1,0,1,0,filtered_results/filtered_swe_bench_class_astropy_cosmology_io_latex.py.log
filtered_swe_bench_class/astropy_table_groups.py,15,8,7,5,6,3,0,filtered_results/filtered_swe_bench_class_astropy_table_groups.py.log
filtered_swe_bench_class/astropy_nddata_mixins_ndarithmetic.py,38,33,12,29,15,6,13,filtered_results/filtered_swe_bench_class_astropy_nddata_mixins_ndarithmetic.py.log
filtered_swe_bench_class/astropy_io_fits_fitsrec.py,200,82,90,40,56,20,34,filtered_results/filtered_swe_bench_class_astropy_io_fits_fitsrec.py.log
filtered_swe_bench_class/astropy_utils_introspection.py,16,4,1,3,4,0,2,filtered_results/filtered_swe_bench_class_astropy_utils_introspection.py.log
filtered_swe_bench_class/astropy_stats_biweight.py,14,11,0,0,18,3,0,filtered_results/filtered_swe_bench_class_astropy_stats_biweight.py.log
filtered_swe_bench_class/astropy_stats_bayesian_blocks.py,41,28,11,5,32,0,4,filtered_results/filtered_swe_bench_class_astropy_stats_bayesian_blocks.py.log
filtered_swe_bench_class/django_apps_config.py,30,21,9,8,18,0,1,filtered_results/filtered_swe_bench_class_django_apps_config.py.log
filtered_swe_bench_class/django_core_cache_backends_locmem.py,20,2,1,0,8,0,17,filtered_results/filtered_swe_bench_class_django_core_cache_backends_locmem.py.log
filtered_swe_bench_class/django_contrib_sessions_middleware.py,12,3,5,0,6,0,0,filtered_results/filtered_swe_bench_class_django_contrib_sessions_middleware.py.log
filtered_swe_bench_class/django_core_files_uploadhandler.py,21,1,0,0,3,0,0,filtered_results/filtered_swe_bench_class_django_core_files_uploadhandler.py.log
filtered_swe_bench_class/django_db_migrations_operations_utils.py,4,4,5,0,0,0,0,filtered_results/filtered_swe_bench_class_django_db_migrations_operations_utils.py.log
filtered_swe_bench_class/django_db_backends_mysql_client.py,12,1,1,13,1,0,0,filtered_results/filtered_swe_bench_class_django_db_backends_mysql_client.py.log
filtered_swe_bench_class/django_contrib_auth_checks.py,10,6,4,3,8,0,0,filtered_results/filtered_swe_bench_class_django_contrib_auth_checks.py.log
filtered_swe_bench_class/django_db_models_functions_math.py,14,0,0,0,0,0,0,filtered_results/filtered_swe_bench_class_django_db_models_functions_math.py.log
filtered_swe_bench_class/django_db_utils.py,5,3,0,3,4,0,0,filtered_results/filtered_swe_bench_class_django_db_utils.py.log
filtered_swe_bench_class/django_db_transaction.py,35,9,10,0,0,0,9,filtered_results/filtered_swe_bench_class_django_db_transaction.py.log
filtered_swe_bench_class/django_dispatch_dispatcher.py,31,16,14,10,5,0,16,filtered_results/filtered_swe_bench_class_django_dispatch_dispatcher.py.log
filtered_swe_bench_class/django_db_backends_postgresql_base.py,32,7,2,13,8,0,1,filtered_results/filtered_swe_bench_class_django_db_backends_postgresql_base.py.log
filtered_swe_bench_class/django_template_backends_django.py,4,0,1,0,3,0,0,filtered_results/filtered_swe_bench_class_django_template_backends_django.py.log
filtered_swe_bench_class/django_db_migrations_loader.py,61,33,39,10,9,4,8,filtered_results/filtered_swe_bench_class_django_db_migrations_loader.py.log
